Dataset,Offset,Noise,Embedding_Method,Sampling_Method,Sample_Percentage,Potential_Name,Potential_Params,Kernel_Method,Kernel_Params,GroundTruth_Kernel,GroundTruth_Kernel_Params,GW_Uniform_Uniform,GW_NonUniform_Uniform,GH_Ultrametric_HD,GH_Ultrametric_Emb,Fill_Distance,Fill_Distance_Scaled,Fill_Distance_KNN_Mean_Scaled,Fill_Distance_KNN_Max_Scaled,Fill_Distance_KNN_Mean,Fill_Distance_KNN_Max,ARI,SeparationDistance,Shapes_Info,NTotalPoints,Minimax_Offset,Minimax_Offset_Scaled,ARI_Sub_Embedding,ARI_Full_Embedding
MNIST_offset_0.0,0.0,False,diffusionmap,uniform,1.0,,{},IAN,{},mesh,{},0.01899565732013807,,0.0009653054918615809,0.0019754127357863777,0.0,0.0,27.838298945999146,147.17164611816406,2317.280279199219,3194.045654296875,0.3267596565634187,,,5000,1604.9644855883882,16.324525440498256,0.2223886674955986,0.3039764160046549
MNIST_offset_0.0,0.0,False,umap,uniform,1.0,,{},IAN,{},mesh,{},0.01899565732013807,,0.0009653054918615809,0.0012493400111437095,0.0,0.0,27.838298945999146,147.17164611816406,2317.280279199219,3194.045654296875,0.3267596565634187,,,5000,1604.9644855883882,16.324525440498256,0.6382869056843793,0.5254062101423786
MNIST_offset_0.0,0.0,False,tsne,uniform,1.0,,{},IAN,{},mesh,{},0.01899565732013807,,0.0009653054918615809,0.002956223831857672,0.0,0.0,27.838298945999146,147.17164611816406,2317.280279199219,3194.045654296875,0.3267596565634187,,,5000,1604.9644855883882,16.324525440498256,0.5762239513751348,0.4830813178520409
MNIST_offset_0.0,0.0,False,isomap,uniform,1.0,,{},IAN,{},mesh,{},0.01899565732013807,,0.0009653054918615809,0.00019780227367098246,0.0,0.0,27.838298945999146,147.17164611816406,2317.280279199219,3194.045654296875,0.3267596565634187,,,5000,1604.9644855883882,16.324525440498256,0.1308551017075705,0.18805802556849222
MNIST_offset_0.0,0.0,False,lle,uniform,1.0,,{},IAN,{},mesh,{},0.01899565732013807,,0.0009653054918615809,0.001274351052965122,0.0,0.0,27.838298945999146,147.17164611816406,2317.280279199219,3194.045654296875,0.3267596565634187,,,5000,1604.9644855883882,16.324525440498256,0.30863057476007455,0.17347082243343334
MNIST_offset_0.0,0.0,False,diffusionmap,uniform,1.0,,{},gaussian,"{""sigma"": 0.5}",mesh,{},0.07866574868687319,,0.0009653054918615809,0.33084580542640996,0.0,0.0,27.838298945999146,147.17164611816406,2317.280279199219,3194.045654296875,0.3267596565634187,,,5000,1604.9644855883882,16.324525440498256,0.0004953798908619323,0.3039764160046549
MNIST_offset_0.0,0.0,False,umap,uniform,1.0,,{},gaussian,"{""sigma"": 0.5}",mesh,{},0.07866574868687319,,0.0009653054918615809,0.0018663128984408195,0.0,0.0,27.838298945999146,147.17164611816406,2317.280279199219,3194.045654296875,0.3267596565634187,,,5000,1604.9644855883882,16.324525440498256,0.6194883020973051,0.5254062101423786
MNIST_offset_0.0,0.0,False,tsne,uniform,1.0,,{},gaussian,"{""sigma"": 0.5}",mesh,{},0.07866574868687319,,0.0009653054918615809,0.01143066223745857,0.0,0.0,27.838298945999146,147.17164611816406,2317.280279199219,3194.045654296875,0.3267596565634187,,,5000,1604.9644855883882,16.324525440498256,0.5827815310234044,0.4830813178520409
MNIST_offset_0.0,0.0,False,isomap,uniform,1.0,,{},gaussian,"{""sigma"": 0.5}",mesh,{},0.07866574868687319,,0.0009653054918615809,0.00020964772271563366,0.0,0.0,27.838298945999146,147.17164611816406,2317.280279199219,3194.045654296875,0.3267596565634187,,,5000,1604.9644855883882,16.324525440498256,0.1308551017075705,0.18805802556849222
MNIST_offset_0.0,0.0,False,lle,uniform,1.0,,{},gaussian,"{""sigma"": 0.5}",mesh,{},0.07866574868687319,,0.0009653054918615809,0.0012731950581925907,0.0,0.0,27.838298945999146,147.17164611816406,2317.280279199219,3194.045654296875,0.3267596565634187,,,5000,1604.9644855883882,16.324525440498256,0.30863057476007455,0.17347082243343334
MNIST_offset_0.0,0.0,False,diffusionmap,uniform,1.0,,{},knn_shortest_path,"{""knn"": 16, ""shortest_path"": false}",mesh,{},0.26009999108531223,,0.0009653054918615809,0.0017046555394917527,0.0,0.0,27.838298945999146,147.17164611816406,2317.280279199219,3194.045654296875,0.3267596565634187,,,5000,1604.9644855883882,16.324525440498256,0.34474655253406955,0.3039764160046549
MNIST_offset_0.0,0.0,False,umap,uniform,1.0,,{},knn_shortest_path,"{""knn"": 16, ""shortest_path"": false}",mesh,{},0.26009999108531223,,0.0009653054918615809,0.001203045602962259,0.0,0.0,27.838298945999146,147.17164611816406,2317.280279199219,3194.045654296875,0.3267596565634187,,,5000,1604.9644855883882,16.324525440498256,0.6105366158244582,0.5254062101423786
MNIST_offset_0.0,0.0,False,tsne,uniform,1.0,,{},knn_shortest_path,"{""knn"": 16, ""shortest_path"": false}",mesh,{},0.26009999108531223,,0.0009653054918615809,0.0026504638200392926,0.0,0.0,27.838298945999146,147.17164611816406,2317.280279199219,3194.045654296875,0.3267596565634187,,,5000,1604.9644855883882,16.324525440498256,0.5913926207262244,0.4830813178520409
MNIST_offset_0.0,0.0,False,isomap,uniform,1.0,,{},knn_shortest_path,"{""knn"": 16, ""shortest_path"": false}",mesh,{},0.26009999108531223,,0.0009653054918615809,0.0001953215164617683,0.0,0.0,27.838298945999146,147.17164611816406,2317.280279199219,3194.045654296875,0.3267596565634187,,,5000,1604.9644855883882,16.324525440498256,0.1308551017075705,0.18805802556849222
